Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age_range,MonthlyIncome_range,experience,last_promotion,experienceInCurrentRole
41,1,R,1102,Sales,-1.5053496669764959,2,LE,1,2,Female,94,3,2,SE,4,Single,0.21949323718313785,19479,1.660253538085118,1,11,3,1,0,-0.1389206128713836,0,1,0.177344441121138,0.29061126825485295,-0.9733423721381878,0.5479958873663928,40's,5k-10k,<10,<5,<5
49,0,F,279,Re&De,0.2520023621193102,1,LE,2,3,Male,61,2,2,RS,2,Married,-0.014600155970252774,24907,-0.5864173580242138,0,23,4,4,1,0.14841116175654057,3,3,0.7747243810088977,0.8826704550237439,-0.11727146504788616,0.9049235229276625,40's,5k-10k,10-20,<5,5-10
37,1,R,1373,Re&De,-1.0316074699401947,2,Other,4,4,Male,92,2,1,LT,3,Single,-1.366317700490529,2396,1.2848600822687926,1,15,3,2,0,-0.3075690972864685,3,3,-2.39452712456886,-1.7367826544685656,-0.9733423721381878,-1.675043127180746,30's,<5k,<10,<5,<5
33,0,F,1392,Re&De,-0.6954820319532931,4,LE,5,4,Female,56,3,1,RS,3,Married,-0.8686259477716458,23159,-0.5864173580242138,1,11,3,3,0,-0.1389206128713836,3,3,0.5095018289928678,0.8826704550237439,0.7387994420424154,-1.675043127180746,30's,<5k,<10,<5,5-10
27,0,R,591,Re&De,-1.0316074699401947,1,Medical,7,1,Male,40,3,1,LT,2,Married,-0.6040322021702075,16632,1.8176326760436148,0,12,3,4,1,-0.49876697958303323,3,3,-0.9425126477879964,-0.3528710041543192,0.38349791355828505,-0.31199299600307684,20's,<5k,<10,<5,<5
32,0,F,1005,Re&De,-1.0316074699401947,2,LE,8,4,Male,79,3,1,LT,4,Single,-0.788517937257751,11864,-1.6217853521327694,0,13,3,3,0,-0.1389206128713836,2,2,0.35383028348375706,0.8826704550237439,0.7387994420424154,0.7392508974613572,30's,<5k,<10,<5,5-10
59,0,R,1324,Re&De,-0.6954820319532931,3,Medical,10,3,Female,81,4,1,LT,1,Married,-0.997675510957471,9964,0.7822646819350587,1,20,4,1,3,0.38760875109346676,3,2,-1.4784079885513208,-1.7367826544685656,-0.9733423721381878,-1.675043127180746,50's,<5k,10-20,<5,<5
30,0,R,1358,Re&De,1.4456915278010198,1,LE,11,4,Male,67,3,1,LT,3,Divorced,-0.9847643368476673,13335,-0.5864173580242138,0,22,4,2,1,-2.292544621589625,2,3,-1.4784079885513208,-1.7367826544685656,-0.9733423721381878,-1.675043127180746,30's,<5k,<10,<5,<5
38,0,F,216,Re&De,1.3979954351294148,3,LE,12,4,Male,44,2,3,MD,3,Single,0.9172494813296661,8787,-1.6217853521327694,0,21,4,2,0,0.14841116175654057,2,3,0.6487547716317403,0.8826704550237439,-0.11727146504788616,1.0510571351745928,30's,5k-10k,10-20,<5,5-10
36,0,R,1299,Re&De,1.5781038594442474,3,Medical,13,3,Male,94,3,2,Healthcare,3,Married,0.016478861942161624,16577,1.2848600822687926,0,13,3,2,2,0.8535671492801944,3,2,0.35383028348375706,0.8826704550237439,1.594870349132717,0.9049235229276625,30's,5k-10k,10-20,5-10,5-10
35,0,R,809,Re&De,0.9950865624889356,3,Medical,14,1,Male,84,4,1,LT,2,Married,-1.1419291952517898,16479,-1.6217853521327694,0,13,3,3,1,-0.49876697958303323,5,3,-0.026393511770457165,0.29061126825485295,-0.9733423721381878,0.04493463955819317,30's,<5k,<10,<5,<5
29,0,R,153,Re&De,0.9242532380931131,2,LE,15,4,Female,49,2,2,LT,3,Single,-0.318243528674827,12682,-1.6217853521327694,1,12,3,4,0,0.14841116175654057,3,3,0.6487547716317403,0.5202800323431175,-0.9733423721381878,1.0510571351745928,20's,<5k,10-20,<5,5-10
31,0,R,670,Re&De,1.5356121941788146,1,LE,16,1,Male,31,3,1,RS,3,Divorced,-0.8675913708674631,15170,-0.5864173580242138,0,17,3,4,1,-0.7194887361547153,1,2,-0.026393511770457165,-0.3528710041543192,1.0143927182504924,0.04493463955819317,30's,<5k,<10,<5,<5
34,0,R,1346,Re&De,1.1849723829470664,2,Medical,18,2,Male,93,3,1,LT,4,Divorced,-1.002757998296337,8758,-1.6217853521327694,0,11,3,3,1,-1.3000568594380468,2,3,-0.9425126477879964,-0.3528710041543192,-0.11727146504788616,-0.31199299600307684,30's,<5k,<10,<5,<5
28,1,R,103,Re&De,1.4456915278010198,3,LE,19,3,Male,50,2,1,LT,3,Single,-1.4116421175699747,12947,1.0546020870847297,1,14,3,2,0,-0.49876697958303323,4,3,-0.2673643643857992,-0.3528710041543192,-0.9733423721381878,0.04493463955819317,20's,<5k,<10,<5,<5
29,0,R,1389,Re&De,1.2963320365337836,4,LE,20,2,Female,51,4,3,MD,1,Divorced,0.9873508500701134,10195,-0.5864173580242138,0,11,3,3,1,0.14841116175654057,1,3,0.7747243810088977,1.16376230475229,1.7403381992547586,1.0510571351745928,20's,5k-10k,10-20,5-10,5-10
32,0,R,334,Re&De,-0.22173983491699154,2,LE,21,1,Male,80,4,1,RS,2,Divorced,-0.6796954360570909,15053,-1.6217853521327694,1,12,3,4,2,-0.3075690972864685,5,2,0.177344441121138,-0.3528710041543192,-0.9733423721381878,0.5479958873663928,30's,<5k,<10,<5,<5
22,0,N,1123,Re&De,0.9950865624889356,2,Medical,22,4,Male,96,4,1,LT,4,Divorced,-0.8552315754184336,7324,-0.5864173580242138,1,13,3,2,2,-2.292544621589625,2,2,-1.4784079885513208,-1.7367826544685656,-0.9733423721381878,-1.675043127180746,20's,<5k,<10,<5,<5
53,0,R,1219,Sales,-1.0316074699401947,4,LE,23,1,Female,78,2,4,Manager,4,Married,1.643139481531159,22021,0.019234092976174,0,16,3,3,0,1.6774064270166889,3,3,1.9116356489170825,1.0310406461599277,0.7387994420424154,0.9049235229276625,50's,15k-20k,30-40,<5,5-10
38,0,R,371,Re&De,-1.0316074699401947,3,LE,24,4,Male,45,3,1,RS,4,Single,-0.41040912021823284,4306,1.0546020870847297,1,11,3,3,0,-0.49876697958303323,3,3,-0.5622888525337819,-0.3528710041543192,-0.11727146504788616,-0.31199299600307684,30's,<5k,<10,<5,<5
24,0,N,673,Re&De,0.5881278001062117,2,Other,26,1,Female,96,4,2,MD,3,Divorced,-0.38504962081773697,8232,-1.6217853521327694,0,18,3,4,1,-0.7194887361547153,5,2,-0.2673643643857992,-0.3528710041543192,-0.11727146504788616,0.04493463955819317,20's,<5k,<10,<5,<5
36,1,R,1218,Sales,0.37510474792386383,4,LE,27,3,Male,82,2,1,SR,1,Single,-0.6307467094475551,6986,1.484318630192897,0,23,4,2,0,0.14841116175654057,4,3,-0.026393511770457165,0.009519418526307482,-0.9733423721381878,0.04493463955819317,30's,<5k,10-20,<5,<5
34,0,R,419,Re&De,0.11438560306990991,4,LE,28,1,Female,53,3,3,RD,2,Single,1.2641317381071397,21293,-1.6217853521327694,0,11,3,3,0,0.49372078256854574,4,3,0.9955165128995432,0.7144622055422116,0.38349791355828505,1.4079847707358624,30's,10k-15k,10-20,<5,5-10
21,0,R,391,Re&De,0.9242532380931131,2,LE,30,3,Male,96,3,1,RS,4,Single,-2.1616835726385,19281,-0.5864173580242138,0,14,3,4,0,-3.285032383741204,6,3,-2.39452712456886,-1.7367826544685656,-0.9733423721381878,-1.675043127180746,20's,<5k,<10,<5,<5
34,1,R,699,Re&De,-0.041631410602158754,1,Medical,31,2,Male,83,3,1,RS,1,Single,-0.8424637642750622,17102,0.019234092976174,0,11,3,3,0,-0.1389206128713836,2,3,-0.2673643643857992,-0.3528710041543192,-0.11727146504788616,0.04493463955819317,30's,<5k,<10,<5,<5
53,0,R,1282,Re&De,-0.22173983491699154,3,Other,32,3,Female,58,3,5,Manager,3,Divorced,1.9642456859533726,10735,0.7822646819350587,0,11,3,4,1,1.4341352725635261,3,2,1.1846501123950648,1.5876132420396485,1.0143927182504924,1.0510571351745928,50's,15k-20k,20-30,<5,10-15
32,1,F,1125,Re&De,0.9950865624889356,1,LE,33,2,Female,72,1,1,RS,1,Single,-0.41998211256617957,4681,-0.5864173580242138,1,22,4,2,0,0.14841116175654057,5,3,0.7747243810088977,-0.3528710041543192,1.429952502512088,0.9049235229276625,30's,<5k,10-20,5-10,<5
42,0,R,691,Sales,0.2520023621193102,4,Marketing,35,3,Male,48,3,2,SE,2,Married,0.4152204035701731,21173,-1.6217853521327694,0,11,3,4,1,0.14841116175654057,2,3,0.6487547716317403,0.8826704550237439,1.0143927182504924,-0.31199299600307684,40's,5k-10k,10-20,<5,5-10
44,0,R,477,Re&De,0.11438560306990991,4,Medical,36,1,Female,42,2,3,Healthcare,4,Married,1.0272505185151428,2094,0.4489506360843417,0,14,3,4,1,1.3239380538020686,4,3,1.7495945463358997,0.7144622055422116,1.2395688206485869,1.9110460185440619,40's,10k-15k,20-30,5-10,5-10
46,0,R,705,Sales,-1.0316074699401947,4,Marketing,38,2,Female,83,3,5,Manager,1,Single,1.952608453582748,22822,0.4489506360843417,0,12,3,4,0,1.2045474989798381,2,2,-0.9425126477879964,-0.3528710041543192,0.38349791355828505,-0.8150542438112763,40's,15k-20k,20-30,<5,<5
33,0,R,924,Re&De,-1.0316074699401947,3,Medical,39,3,Male,78,3,1,LT,4,Single,-1.0991123936797214,6670,0.7822646819350587,0,11,3,4,0,-0.3075690972864685,3,3,-1.4784079885513208,-0.8636316179711291,-0.9733423721381878,-1.675043127180746,30's,<5k,<10,<5,<5
44,0,R,1459,Re&De,0.48646440151058035,4,Other,40,4,Male,41,3,2,Healthcare,4,Married,0.3336329534423992,19121,0.019234092976174,1,13,3,4,0,0.01194059718201139,5,4,-0.2673643643857992,-0.3528710041543192,-0.11727146504788616,0.04493463955819317,40's,5k-10k,<10,<5,<5
30,0,R,125,Re&De,0.37510474792386383,2,Medical,41,4,Male,83,2,1,LT,3,Single,-1.2850155508302092,16117,-0.5864173580242138,0,13,3,1,0,0.14841116175654057,5,3,0.7747243810088977,-1.7367826544685656,-0.11727146504788616,1.0510571351745928,30's,<5k,10-20,<5,<5
39,1,R,895,Sales,-0.22173983491699154,3,TD,42,4,Male,56,3,2,SR,4,Married,-1.3692010457942854,3335,0.4489506360843417,0,14,3,3,1,1.0044283593335894,6,4,-1.4784079885513208,-1.7367826544685656,-0.9733423721381878,-1.675043127180746,30's,<5k,10-20,<5,<5
24,1,R,813,Re&De,-1.5053496669764959,3,Medical,45,2,Male,61,3,1,RS,4,Married,-1.2267959395191619,3020,0.019234092976174,1,16,3,1,1,-0.49876697958303323,2,2,-0.9425126477879964,-1.7367826544685656,0.38349791355828505,-1.675043127180746,20's,<5k,<10,<5,<5
43,0,R,1273,Re&De,-1.0316074699401947,2,Medical,46,4,Female,72,4,1,RS,3,Divorced,-1.011836106423129,21923,-0.5864173580242138,0,12,3,4,2,-0.49876697958303323,3,2,-0.026393511770457165,0.009519418526307482,-0.11727146504788616,0.3217892224056365,40's,<5k,<10,<5,<5
50,1,R,869,Sales,-0.6954820319532931,2,Marketing,47,1,Male,86,2,1,SR,3,Married,-0.9903642935611536,3810,-0.5864173580242138,1,14,3,3,0,-1.3000568594380468,2,3,-0.5622888525337819,-0.3528710041543192,-0.9733423721381878,-0.31199299600307684,50's,<5k,<10,<5,<5
35,0,R,890,Sales,-1.0316074699401947,3,Marketing,49,4,Female,97,3,1,SR,4,Married,-1.4220682585036573,9687,-0.5864173580242138,0,13,3,1,0,-1.711976498306294,3,3,-0.9425126477879964,-0.3528710041543192,0.38349791355828505,-0.31199299600307684,30's,<5k,<10,<5,<5
36,0,R,852,Re&De,-0.22173983491699154,4,LE,51,2,Female,82,2,1,RS,1,Married,-0.6254538160375251,13072,1.8176326760436148,1,14,3,4,1,-0.49876697958303323,3,4,-1.4784079885513208,-0.8636316179711291,-0.9733423721381878,-1.675043127180746,30's,<5k,<10,<5,<5
