Age,DailyRate,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Yes,BusinessTravel_N,BusinessTravel_R,Department_Re&De,Department_Sales,EducationField_LE,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_TD,Gender_Male,JobRole_Healthcare,JobRole_LT,JobRole_MD,JobRole_Manager,JobRole_RD,JobRole_RS,JobRole_SE,JobRole_SR,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
41,1102,-1.5053496669764959,2,1,2,94,3,2,4,0.21949323718313785,19479,1.660253538085118,11,3,1,0,-0.1389206128713836,0,1,0.177344441121138,0.29061126825485295,-0.9733423721381878,0.5479958873663928,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True
49,279,0.2520023621193102,1,2,3,61,2,2,2,-0.014600155970252774,24907,-0.5864173580242138,23,4,4,1,0.14841116175654057,3,3,0.7747243810088977,0.8826704550237439,-0.11727146504788616,0.9049235229276625,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
37,1373,-1.0316074699401947,2,4,4,92,2,1,3,-1.366317700490529,2396,1.2848600822687926,15,3,2,0,-0.3075690972864685,3,3,-2.39452712456886,-1.7367826544685656,-0.9733423721381878,-1.675043127180746,True,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True
33,1392,-0.6954820319532931,4,5,4,56,3,1,3,-0.8686259477716458,23159,-0.5864173580242138,11,3,3,0,-0.1389206128713836,3,3,0.5095018289928678,0.8826704550237439,0.7387994420424154,-1.675043127180746,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True
27,591,-1.0316074699401947,1,7,1,40,3,1,2,-0.6040322021702075,16632,1.8176326760436148,12,3,4,1,-0.49876697958303323,3,3,-0.9425126477879964,-0.3528710041543192,0.38349791355828505,-0.31199299600307684,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
32,1005,-1.0316074699401947,2,8,4,79,3,1,4,-0.788517937257751,11864,-1.6217853521327694,13,3,3,0,-0.1389206128713836,2,2,0.35383028348375706,0.8826704550237439,0.7387994420424154,0.7392508974613572,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
59,1324,-0.6954820319532931,3,10,3,81,4,1,1,-0.997675510957471,9964,0.7822646819350587,20,4,1,3,0.38760875109346676,3,2,-1.4784079885513208,-1.7367826544685656,-0.9733423721381878,-1.675043127180746,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True
30,1358,1.4456915278010198,1,11,4,67,3,1,3,-0.9847643368476673,13335,-0.5864173580242138,22,4,2,1,-2.292544621589625,2,3,-1.4784079885513208,-1.7367826544685656,-0.9733423721381878,-1.675043127180746,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
38,216,1.3979954351294148,3,12,4,44,2,3,3,0.9172494813296661,8787,-1.6217853521327694,21,4,2,0,0.14841116175654057,2,3,0.6487547716317403,0.8826704550237439,-0.11727146504788616,1.0510571351745928,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
36,1299,1.5781038594442474,3,13,3,94,3,2,3,0.016478861942161624,16577,1.2848600822687926,13,3,2,2,0.8535671492801944,3,2,0.35383028348375706,0.8826704550237439,1.594870349132717,0.9049235229276625,False,False,True,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False
35,809,0.9950865624889356,3,14,1,84,4,1,2,-1.1419291952517898,16479,-1.6217853521327694,13,3,3,1,-0.49876697958303323,5,3,-0.026393511770457165,0.29061126825485295,-0.9733423721381878,0.04493463955819317,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
29,153,0.9242532380931131,2,15,4,49,2,2,3,-0.318243528674827,12682,-1.6217853521327694,12,3,4,0,0.14841116175654057,3,3,0.6487547716317403,0.5202800323431175,-0.9733423721381878,1.0510571351745928,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True
31,670,1.5356121941788146,1,16,1,31,3,1,3,-0.8675913708674631,15170,-0.5864173580242138,17,3,4,1,-0.7194887361547153,1,2,-0.026393511770457165,-0.3528710041543192,1.0143927182504924,0.04493463955819317,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
34,1346,1.1849723829470664,2,18,2,93,3,1,4,-1.002757998296337,8758,-1.6217853521327694,11,3,3,1,-1.3000568594380468,2,3,-0.9425126477879964,-0.3528710041543192,-0.11727146504788616,-0.31199299600307684,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False
28,103,1.4456915278010198,3,19,3,50,2,1,3,-1.4116421175699747,12947,1.0546020870847297,14,3,2,0,-0.49876697958303323,4,3,-0.2673643643857992,-0.3528710041543192,-0.9733423721381878,0.04493463955819317,True,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True
29,1389,1.2963320365337836,4,20,2,51,4,3,1,0.9873508500701134,10195,-0.5864173580242138,11,3,3,1,0.14841116175654057,1,3,0.7747243810088977,1.16376230475229,1.7403381992547586,1.0510571351745928,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
32,334,-0.22173983491699154,2,21,1,80,4,1,2,-0.6796954360570909,15053,-1.6217853521327694,12,3,4,2,-0.3075690972864685,5,2,0.177344441121138,-0.3528710041543192,-0.9733423721381878,0.5479958873663928,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
